Date_Forecast,Forecast_T_ANN_ARCH,Forecast_GARCH,Forecast_GJR_GARCH,Forecast_TARCH,Forecast_EGARCH,Forecast_AVGARCH,Forecast_FIGARCH,ReturnForecast,TrueSD,VaR_T_ANN_ARCH,VaR_GARCH,VaR_GJR_GARCH,VaR_TARCH,VaR_EGARCH,VaR_AVGARCH,VaR_FIGARCH,Forecast_NBEATS
2010-04-08,0.015733594,,,,,,,0.0033686614308550134,0.0027845515003699097,0.05131571738281893,,,,,,,0.004768112674355507
2010-04-09,0.015770234,,,,,,,0.006661668296831458,0.002799883531971335,0.05144421182371157,,,,,,,0.0030576977878808975
2010-04-10,0.015728198,,,,,,,0.0,0.004740201040025429,0.05128893839048329,,,,,,,0.0030354540795087814
2010-04-11,0.015778266,,,,,,,0.0,0.004633698645919054,0.05142572483588313,,,,,,,0.004959741607308388
2010-04-12,0.015690757,,,,,,,0.0017650508571405155,0.009885129357467992,0.051140740679463545,,,,,,,0.004799754358828068
2010-04-15,0.015650973,,,,,,,0.0008421839911774143,0.008087016525129333,0.0510072095522113,,,,,,,0.00980704091489315
2010-04-16,0.015782643,,,,,,,-0.01625798241854781,0.009304849928651387,0.05141854834164072,,,,,,,0.008259681984782219
2010-04-17,0.015683793,,,,,,,0.0,0.0038495412088281554,0.05108124571158947,,,,,,,0.009342880919575691
2010-04-18,0.01569953,,,,,,,0.0,0.003638291800592778,0.0511407568323759,,,,,,,0.0040321629494428635
2010-04-19,0.015671026,,,,,,,0.004511140739530184,0.0036787975778551324,0.051106016488179785,,,,,,,0.003858894109725952
2010-04-22,0.015638452,,,,,,,0.0022613206430897037,0.004151196107992719,0.050980106001390316,,,,,,,0.003485497087240219
2010-04-23,0.015614583,,,,,,,0.007098267683218751,0.011636323390832617,0.05090399183215061,,,,,,,0.004390968941152096
2010-04-24,0.015637057,,,,,,,0.0,0.011480039860607812,0.05097278065115609,,,,,,,0.011644578538835049
2010-04-25,0.015632162,,,,,,,0.0,0.013876153112339756,0.050966693808721715,,,,,,,0.011452601291239262
2010-04-26,0.015666442,,,,,,,-0.004305704355092921,0.015309151299580995,0.05105473531264099,,,,,,,0.013936169445514679
2010-04-29,0.015646301,,,,,,,0.012860180281289324,0.012252989094008645,0.05103270086683799,,,,,,,0.011137112975120544
2010-04-30,0.015610269,,,,,,,-0.01678781013986619,0.014819026304483163,0.05090533020502464,,,,,,,0.012361408211290836
2010-05-01,0.015696855,,,,,,,0.0,0.013537446981603113,0.051137793664861944,,,,,,,0.014867275021970272
2010-05-02,0.015779717,,,,,,,0.0,0.018476441794988616,0.05146986195665326,,,,,,,0.013578982092440128
2010-05-03,0.015685912,,,,,,,0.013035257453261728,0.01763331358051542,0.051161188816695215,,,,,,,0.018429484218358994
2010-05-06,0.015850538,,,,,,,-0.03288844064396379,0.028133788462608285,0.05171417991758411,,,,,,,0.013708400540053844
2010-05-07,0.01600519,,,,,,,-0.015426646180906722,0.02227314452331878,0.05222798747476495,,,,,,,0.02796405926346779
2010-05-08,0.016166678,,,,,,,0.0,0.019248888430641757,0.05279103988347145,,,,,,,0.02210060879588127
2010-05-09,0.016192144,,,,,,,0.0,0.021575113655812814,0.05294229182549516,,,,,,,0.019216593354940414
2010-05-10,0.01584798,,,,,,,0.043034704145615166,0.02480826489499945,0.051836440227038844,,,,,,,0.021487923339009285
2010-05-13,0.015628869,,,,,,,-0.012219499889225105,0.009078393367972315,0.051060426747839734,,,,,,,0.012653826735913754
2010-05-14,0.016033797,,,,,,,-0.018978981387950178,0.009472316323700561,0.05235738270585084,,,,,,,0.009306379593908787
2010-05-15,0.016307097,,,,,,,0.0,0.006420511889322375,0.05327703914319659,,,,,,,0.009484481066465378
2010-05-16,0.015674446,,,,,,,0.0,0.01686552486311685,0.05122809958377986,,,,,,,0.006556935608386993
2010-05-17,0.016282752,,,,,,,0.0011087536210085958,0.020384993604217944,0.05321954625608743,,,,,,,0.016804765909910202
2010-05-20,0.015402032,,,,,,,-0.039755795837765895,0.020526827350317783,0.05037223814123054,,,,,,,0.02022295631468296
2010-05-21,0.016368281,,,,,,,0.014912632585704522,0.00987763219437929,0.053525982319322034,,,,,,,0.020547641441226006
2010-05-22,0.01590137,,,,,,,0.0,0.005789171770558051,0.05204426088706685,,,,,,,0.009974881075322628
2010-05-23,0.015481052,,,,,,,0.0,0.01737898548608385,0.05063795550831587,,,,,,,0.00595900509506464
2010-05-24,0.016158694,,,,,,,-0.012992046323687667,0.01872195590903754,0.052876077724186496,,,,,,,0.017296578735113144
2010-05-28,0.016233152,,,,,,,-0.012451892345405113,0.008331125040671237,0.05314625385290299,,,,,,,0.01652497798204422
2010-05-29,0.016504608,,,,,,,0.0,0.015307878914573664,0.05394849111048876,,,,,,,0.00851582270115614
2010-05-30,0.01624768,,,,,,,0.0,0.015306377412154645,0.053137246206611616,,,,,,,0.015210890211164951
2010-05-31,0.01638043,,,,,,,0.0,0.022856120145100533,0.053584071135335004,,,,,,,0.015390807762742043
2010-06-03,0.01611359,,,,,,,0.004043191983442718,0.016049810213881174,0.0527416073910316,,,,,,,0.02160799130797386
2010-06-04,0.01600223,,,,,,,-0.035017442089830375,0.017651964735991333,0.05233919862669172,,,,,,,0.016003118827939034
2010-06-05,0.016242499,,,,,,,0.0,0.009017759499461339,0.05311509505028312,,,,,,,0.017441198229789734
2010-06-06,0.016500583,,,,,,,0.0,0.01660279206764672,0.054003618226860534,,,,,,,0.009098662063479424
