Date_Forecast,Forecast_T_ANN_ARCH,ReturnForecast,TrueSD,VaR_T_ANN_ARCH,Forecast_NBEATS
2013-03-10,0.0116955,0.0,0.0030528213509641755,0.03778149083418859,0.002222418785095215
2013-03-11,0.011647933,0.003243818865874104,0.0033313461722283646,0.03760858718138685,0.0031559057533740997
2013-03-14,0.011660851,0.005587352158972436,0.003996518200524824,0.037650308017026055,0.002837611362338066
2013-03-15,0.011634341,-0.0016197737499892284,0.0022758735971091337,0.037561953271351714,0.003995006904006004
2013-03-16,0.011659712,0.0,0.004490185710308167,0.03763686236564163,0.0022736825048923492
2013-03-17,0.011592563,0.0,0.005738891471322528,0.03744036863909752,0.004629954695701599
2013-03-18,0.01157392,-0.005525570335024099,0.007071990384186771,0.03735868213321404,0.005752706900238991
2013-03-21,0.011626455,-0.00831692375600479,0.005643414061075127,0.03754314160615617,0.006327831652015448
2013-03-22,0.011596356,0.0071486438032994926,0.0048917897570097384,0.03743472040971229,0.005702887661755085
2013-03-23,0.011588774,0.0,0.004146062284149136,0.03743143940645376,0.004994922783225775
2013-03-24,0.011607883,0.0,0.004349827853455668,0.037503314909851634,0.0041219983249902725
2013-03-28,0.011623781,0.004048463396191693,0.0030188989862725106,0.037515190043465554,0.0019982829689979553
2013-03-29,0.011629074,0.0,0.0034141693187695324,0.0375333404746448,0.0031032301485538483
2013-03-30,0.011607686,0.0,0.005903691896656699,0.03747167005215009,0.003418510779738426
2013-03-31,0.011593843,0.0,0.006490690226816984,0.03744669815336234,0.005879790522158146
2013-04-01,0.011609246,-0.004483616865356588,0.0065803147108779115,0.03754704465804023,0.00643739802762866
2013-04-04,0.011551718,0.00404027901273718,0.004095094498741942,0.03735947731903888,0.005612291861325502
2013-04-05,0.011557055,-0.004304145168907425,0.00401347587707584,0.03739341652016835,0.004103673622012138
2013-04-06,0.011534923,0.0,0.005062996216951759,0.03731505110313616,0.00407162681221962
2013-04-07,0.011596088,0.0,0.004513326527857101,0.0375188168775189,0.005013881251215935
2013-04-08,0.011588565,0.006282958765271296,0.005405847400044805,0.03750015705562673,0.004554370418190956
2013-04-11,0.011547323,0.003545956179577203,0.01071164805151594,0.03735161162456916,0.005768484901636839
2013-04-12,0.0115773585,-0.0028407983185489982,0.013430614009068713,0.03743046328925237,0.01064406055957079
2013-04-13,0.011603267,0.0,0.01448984756515483,0.03748074471860193,0.013255653902888298
2013-04-14,0.011648103,0.0,0.014255656134208082,0.037624207311619695,0.014410433359444141
2013-04-15,0.011563877,-0.02323412455036511,0.015663067905115638,0.03735205063210759,0.014181487262248993
2013-04-18,0.0116015505,-0.006723555969544215,0.005817195514176982,0.03748973019705416,0.008664462715387344
2013-04-19,0.011637787,0.008808989051054539,0.004825475184131841,0.03763025126684214,0.005788404494524002
2013-04-20,0.011628054,0.0,0.004580798670478439,0.03759631450534357,0.004709554370492697
2013-04-21,0.011604585,0.0,0.004263505524058897,0.03753142082120107,0.004616877064108849
2013-04-22,0.011583464,0.00465079821542691,0.004729661401247633,0.03748334294607939,0.00423004012554884
2013-04-25,0.011603141,0.0040266145649914264,0.003654607082669356,0.03752465173915471,0.00222864281386137
2013-04-26,0.011535657,-0.001843811801517603,0.003488065861130971,0.03730493997978758,0.003677613567560911
2013-04-27,0.011578661,0.0,0.006017945619994913,0.03742981191076133,0.0034747133031487465
2013-04-28,0.011468322,0.0,0.007313030062346493,0.037067046250958635,0.005976511165499687
2013-04-29,0.011359079,0.007160315369406867,0.008082511613146194,0.03666317216529189,0.007312276400625706
2013-05-02,0.011325083,0.009364003810320654,0.005160671331467135,0.03653842072908734,0.007972109131515026
2013-05-03,0.011288117,0.010479563948170068,0.0044356520188508055,0.03643268620585887,0.005135972518473864
2013-05-04,0.011304243,0.0,0.0023759595486924413,0.03646408395890082,0.004371793009340763
2013-05-05,0.011362447,0.0,0.003539916272764563,0.03659674921060491,0.0023943425621837378
2013-05-06,0.011274947,0.0019059611284841793,0.0036042298712581286,0.036240781767132454,0.003698381595313549
2013-05-09,0.011310934,-0.0036939180287731688,0.002835300307491543,0.03634826784904558,0.0033532967790961266
2013-05-10,0.0112645235,0.00431234377158507,0.004435331688389676,0.03619072015670868,0.0029373965226113796
2013-05-11,0.011303119,0.0,0.00451196533744751,0.03621439665313173,0.00443531759083271
2013-05-12,0.011252543,0.0,0.005749273631173527,0.036115373750066966,0.00449429452419281
2013-05-13,0.011202105,4.288844886968235e-05,0.006602320481628989,0.03595791755258342,0.005776095669716597
2013-05-16,0.011223375,-0.0050223319854110215,0.0056270176059571245,0.03601292655626703,0.005847727879881859
2013-05-17,0.011254425,0.01024741198656276,0.004558302973794224,0.03610604300846627,0.005603961646556854
2013-05-18,0.011265143,0.0,0.003932021514574145,0.03618245568667289,0.004570551682263613
2013-05-19,0.011183034,0.0,0.003878078610891749,0.03588383967977198,0.003910386003553867
2013-05-20,0.011182222,-0.0007078684047074901,0.0038126766503444464,0.03578583306419803,0.0038826502859592438
2013-05-24,0.011126361,-0.0005515174989882965,0.0028983372524241753,0.03561730605149478,0.0012597814202308655
2013-05-25,0.011125285,0.0,0.004739933967516838,0.03561878240704012,0.0029541105031967163
2013-05-26,0.011179471,0.0,0.005042509191298531,0.03584872432121399,0.004741556476801634
2013-05-27,0.011138755,0.0,0.008435383893493634,0.03573381888984214,0.005055106244981289
2013-05-30,0.01108498,0.0036636251143127296,0.007928617487405054,0.035550528886997404,0.007273029536008835
2013-05-31,0.011144835,-0.014410576921856766,0.0076473518559664775,0.035756441015325706,0.007893005385994911
