Date_Forecast,Forecast_T_ANN_ARCH,ReturnForecast,TrueSD,VaR_T_ANN_ARCH,Forecast_NBEATS
2012-10-27,0.0059368326,0.0,0.007193933957704967,0.019365558022698723,0.005845550447702408
2012-10-28,0.005454275,0.0,0.008168573019841932,0.01778126016708753,0.007265754975378513
2012-10-29,0.005773887,-0.009651575536896217,0.009374816381123884,0.018765535900862267,0.008055243641138077
2012-11-01,0.0059966883,0.005603699524227679,0.0038162508312331095,0.01952393891519772,0.003734694793820381
2012-11-02,0.0059116767,0.008103227061795337,0.0035565050437927374,0.019237422388609402,0.003903185948729515
2012-11-03,0.0058807116,0.0,0.0030389888069095854,0.019127870474843104,0.0035820286720991135
2012-11-04,0.0059729335,0.0,0.003553861404537117,0.019389648747359826,0.0031910971738398075
2012-11-05,0.0058792434,0.0002327326712077138,0.005993651176355769,0.019079913237838943,0.0035999901592731476
2012-11-08,0.0058151856,-0.002228777009099403,0.00428686263182645,0.018865316041895914,0.005664654541760683
2012-11-11,0.005992943,0.0,0.0026620318169432696,0.019420277138264615,0.0012400774285197258
2012-11-12,0.005769476,0.0023150514686705037,0.005044635543147451,0.01868685081205654,0.002774704247713089
2012-11-15,0.0059463913,-0.004935543084256366,0.004250395365883808,0.019259497632744534,0.004706565290689468
2012-11-16,0.0057765185,-0.01025922920604927,0.004233476582890512,0.018706462094880486,0.0043381680734455585
2012-11-17,0.0058307266,0.0,0.0038370101156461247,0.01893615390372692,0.004263504408299923
2012-11-18,0.005804178,0.0,0.004002134479937066,0.018872484120482313,0.003903905861079693
2012-11-19,0.005904121,-0.003116463396201752,0.003978507296396342,0.019190868895044056,0.004003333859145641
2012-11-22,0.005941326,0.002989752653940414,0.0019810031100634534,0.01932007713480727,0.003021454205736518
2012-11-23,0.0056691426,0.0005253992672162866,0.006509709474458839,0.01842339406396516,0.0022071097046136856
2012-11-25,0.0057771974,0.0,0.007715598483606456,0.01876902135362418,0.006552876904606819
2012-11-26,0.005684093,0.004337816244085246,0.006678866093530816,0.018415899652645097,0.007770221680402756
2012-11-29,0.0057161152,0.015118350552166149,0.006689229605996933,0.01848990969883829,0.007004891522228718
2012-11-30,0.0057708602,0.009315507238913057,0.0038389218026170214,0.01866813680465122,0.006665653549134731
2012-12-01,0.0057819616,0.0,0.0015319639133681783,0.018688178917453543,0.0038013020530343056
2012-12-02,0.005728511,0.0,0.0021792550633294413,0.018551922741871524,0.0015558097511529922
2012-12-03,0.0058689876,0.0020939090568781182,0.0034163631451093034,0.019013226698519313,0.002269764430820942
2012-12-06,0.005735329,0.00594568085356606,0.0033842709360412445,0.018569650216952283,0.0034626093693077564
2012-12-07,0.006035307,-0.0033705519250855076,0.002226066950227445,0.01952209371458857,0.0034284230787307024
2012-12-08,0.0058401767,0.0,0.0018420483511502926,0.01887773762791513,0.0022937969770282507
2012-12-09,0.0056977863,0.0,0.0035648006832427075,0.018435195425575788,0.0020123226568102837
2012-12-10,0.0056544277,0.0016179743535396085,0.004891621504680505,0.018276845979614903,0.0036220443435013294
2012-12-13,0.0057750614,-0.007630189373632135,0.004606799288599443,0.018672639124433055,0.004722576588392258
2012-12-14,0.005842733,0.005281223652850997,0.003692734915733908,0.01889507214577431,0.004629874601960182
2012-12-15,0.005775984,0.0,0.0038010332540904424,0.01870968373777977,0.003685357980430126
2012-12-16,0.005720963,0.0,0.0041699936236375525,0.018499067416962296,0.0037889578379690647
2012-12-17,0.0058837263,-0.0010326283156540939,0.007869679176260316,0.01901538190752572,0.004300300497561693
2012-12-20,0.0057980833,-0.0018733290297330285,0.005767554610989042,0.018727369450344006,0.006669510155916214
2012-12-22,0.0058160485,0.0,0.003363851128618441,0.01877642679655938,0.005891360342502594
2012-12-23,0.0057769455,0.0,0.004703251183111949,0.018682327498647604,0.0034982094075530767
2012-12-24,0.005820373,0.0017267503923967809,0.005336067489133013,0.018882627604010632,0.004791418556123972
2012-12-27,0.005876033,-0.005350750898417189,0.0043108615798539765,0.019061342171172155,0.005492051597684622
2012-12-28,0.0058400854,0.006765698937597264,0.004208396646714529,0.01893217815346883,0.0044003985822200775
2012-12-29,0.005769949,0.0,0.004217149148363337,0.018720855140456957,0.004260819870978594
2012-12-30,0.0055634025,0.0,0.0037863612924859086,0.01804843475799508,0.004297478590160608
2012-12-31,0.0058098948,0.0010863798626932208,0.003381615056780987,0.018881774014200946,0.003815624862909317
2013-01-03,0.0056881104,0.003480270494128135,0.0022599627552388566,0.018469680675111278,0.0029694540426135063
2013-01-04,0.005798424,0.0017148892122822446,0.0016907652820057186,0.018818177866946284,0.0023241499438881874
2013-01-05,0.0057641747,0.0,0.0023900162244792373,0.01872368839462795,0.0017538387328386307
2013-01-06,0.0059292004,0.0,0.0022992582789605896,0.01926345055231489,0.002412049565464258
2013-01-07,0.005825574,-0.00259415561490961,0.0030012738175411078,0.018913182347514493,0.002366073429584503
2013-01-10,0.005725701,-0.0013610056292510109,0.006862488721411713,0.018590153248122077,0.0030469540506601334
2013-01-11,0.00585365,-0.006477368869470368,0.006894216656650032,0.019013889682859317,0.006881225388497114
2013-01-12,0.0055496227,0.0,0.008286432653517946,0.018012358310224283,0.006905196234583855
2013-01-13,0.0057941843,0.0,0.008397215882239805,0.01881867063656456,0.008303901180624962
2013-01-14,0.0056964764,0.01217928852294392,0.008305709574488474,0.018512774066465267,0.008378117345273495
2013-01-17,0.0056896764,0.004938393712862421,0.002076058283410324,0.018464460581230625,0.0059845903888344765
